Section,Source File,Line,Label/Href,Link Target,Status,Notes
Nav,,,Navbar.tsx link,/,Yes,ok
Nav,,,Navbar.tsx industries,/industries/[slug],Yes,dynamic
Nav,,,Footer.tsx obj,/about,Yes,ok
Nav,,,Footer.tsx obj,/case-studies,Yes,ok
Nav,,,Footer.tsx obj,/industries,Yes,ok
Nav,,,Footer.tsx obj,/resume,Yes,ok
Nav,,,Footer.tsx obj,/contact,Yes,ok
Nav,,,Footer.tsx link,/,Yes,ok
Nav,,,Footer.tsx link,/privacy,No,MISSING
Nav,,,Footer.tsx link,/terms,No,MISSING
Nav,,,MegaMenu.tsx obj,/expertise/content-engagement,Yes,ok
Nav,,,MegaMenu.tsx obj,/expertise/content-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/email-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/omnichannel-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/social-media-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/video-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/demand-growth,Yes,ok
Nav,,,MegaMenu.tsx obj,/expertise/demand-generation,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/seo,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/growth-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/paid-advertising-sem,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/event-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/strategy-insights,Yes,ok
Nav,,,MegaMenu.tsx obj,/expertise/account-based-marketing-abm,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/customer-experience-cx,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/customer-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/lifecycle-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/market-research,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/systems-operations,Yes,ok
Nav,,,MegaMenu.tsx obj,/expertise/ai-in-marketing,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/marketing-automation,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/marketing-operations,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/martech-optimization,Yes,dynamic
Nav,,,MegaMenu.tsx obj,/expertise/sales-enablement,Yes,dynamic
Nav,,,MegaMenu.tsx link,/expertise,Yes,ok
Nav,,,MobileMegaMenu.tsx industries,/industries/[slug],Yes,dynamic
Nav,,,PILLARS (types),/expertise/content-engagement,Yes,ok
Nav,,,PILLARS (types),/expertise/demand-growth,Yes,ok
Nav,,,PILLARS (types),/expertise/strategy-insights,Yes,ok
Nav,,,PILLARS (types),/expertise/systems-operations,Yes,ok
Link,app\about\page.tsx,111,,/expertise,ok,
Link,app\about\page.tsx,112,,/case-studies,ok,
Link,app\about\page.tsx,273,,/contact,ok,
Link,app\blog\post\BlogPostClient.tsx,38,,/blog,ok,
Link,app\case-studies\ai-visualizations\page.tsx,105,,/case-studies,ok,
Link,app\case-studies\ai-visualizations\page.tsx,339,,/contact,ok,
Link,app\case-studies\ai-visualizations\[id]\AnimationDetailClient.tsx,91,,/case-studies/ai-visualizations,ok,
Link,app\case-studies\ai-visualizations\[id]\AnimationDetailClient.tsx,242,,/contact,ok,
Link,app\case-studies\page.tsx,83,,/case-studies/ai-visualizations,ok,
Link,app\case-studies\page.tsx,248,,/contact,ok,
Link,app\case-studies\page.tsx,254,,/expertise,ok,
Link,app\case-studies\[slug]\page.tsx,83,,/contact,ok,
Link,app\case-studies\[slug]\page.tsx,84,,/case-studies,ok,
Link,app\contact\page.tsx,96,,/,ok,
Link,app\contact\page.tsx,97,,/contact,ok,
Link,app\expertise\analytics\page.tsx,30,,/,ok,
Link,app\expertise\analytics\page.tsx,34,,/expertise,ok,
Link,app\expertise\analytics\page.tsx,135,,/contact,ok,
Link,app\expertise\analytics\page.tsx,136,,/case-studies,ok,
Link,app\expertise\automation\page.tsx,30,,/,ok,
Link,app\expertise\automation\page.tsx,34,,/expertise,ok,
Link,app\expertise\automation\page.tsx,135,,/contact,ok,
Link,app\expertise\automation\page.tsx,136,,/case-studies,ok,
Link,app\expertise\content-engagement\page.tsx,50,,/contact,ok,
Link,app\expertise\content-engagement\page.tsx,215,,/expertise,ok,
Link,app\expertise\demand-growth\page.tsx,50,,/contact,ok,
Link,app\expertise\demand-growth\page.tsx,215,,/expertise,ok,
Link,app\expertise\optimization\page.tsx,30,,/,ok,
Link,app\expertise\optimization\page.tsx,34,,/expertise,ok,
Link,app\expertise\optimization\page.tsx,135,,/contact,ok,
Link,app\expertise\optimization\page.tsx,136,,/case-studies,ok,
Link,app\expertise\page.tsx,43,,/case-studies,ok,
Link,app\expertise\page.tsx,60,,/expertise,ok,
Link,app\expertise\page.tsx,159,,/industries,ok,
Link,app\expertise\page.tsx,234,,/contact,ok,
